total,species_a,species_b,n,m,potential_energy,potential_energy_per_atom,formation_energy_per_atom,strain_tension_per_a_atom,strain_compression_per_b_atom,interface_energy
13,Si,Ge,8,5,-557.0296668641209,-5.356054489078086,0.003221410703053843,0.017640717300271724,0.013762618519704261,-1.344483934888217
13,Si,Ge,9,4,-563.5239570850642,-5.418499587356387,0.0039373447244393294,0.01764071730027202,0.01376261851970284,-1.301051586908443
13,Si,Ge,10,3,-569.9983074047367,-5.480752955814776,0.004845008565737475,0.01764071730027226,0.013762618519703432,-1.2376793376581645
13,Si,Ge,11,2,-576.4582294979756,-5.542867591326688,0.005891405353512078,0.01764071730027245,0.01376261851970284,-1.1598788619742209
13,Si,Ge,12,1,-582.8976139860076,-5.604784749865458,0.007135279114429101,0.01764071730027202,0.01376261851970284,-1.0615407810834085
14,Si,Ge,1,13,-549.7827635412228,-4.908774674475204,0.003862496901007262,0.017640717300271724,0.013762618519703115,-1.139838411537653
14,Si,Ge,2,12,-556.4217243664107,-4.968051110414381,0.0032355909543966277,0.017640717300272613,0.013762618519703432,-1.2410766678027585
14,Si,Ge,3,11,-563.0414114097309,-5.027155459015455,0.0027807723458894073,0.017640717300273206,0.013762618519703163,-1.3230411422002817
14,Si,Ge,4,10,-569.6448273572345,-5.086114529975307,0.0024712313786027706,0.017640717300271724,0.013762618519704261,-1.3887345207812132
14,Si,Ge,5,9,-576.2274282528292,-5.144887752257404,0.0023475390890728776,0.017640717300272966,0.013762618519704025,-1.4336128474532188
14,Si,Ge,6,8,-582.7892376668046,-5.203475336310755,0.0024094850282873536,0.01764071730027202,0.013762618519703729,-1.457699692505912
14,Si,Ge,7,7,-589.333316574147,-5.26190461226917,0.0026297390624395894,0.01764071730027236,0.013762618519703349,-1.4640560309254624
14,Si,Ge,8,6,-595.8620879133767,-5.320197213512293,0.00298666781188344,0.017640717300271724,0.013762618519703432,-1.4551048012324372
14,Si,Ge,9,5,-602.3689716623901,-5.378294389842769,0.0035390214739732884,0.01764071730027202,0.013762618519704261,-1.4242659813228329
